,Heat Treatment Method,,,,,,Heat Treated Properties,,,,,,,,,Composition,,,,As Built Properties,,,,,,,,LPBF process  parameter,,,,,,,,,,,,,,,,,Mechanical Testing,,,,,
,solution temp,Sol time,ageing temp,ageing time,ageing temp,ageing time,UTS,YS,Elongation,strain hardening,hardness,modulus,Quality,Toughness,n,Si,Al,Mg,Fe,UTS,YS,Elongation,hardness,Modulus,Quality,Support Structure,BT,p/v,power,speed,Hatch ,thickness,Density,,,Direction,,Scanning,spot dia,exposure,pulsing,powder size,Powder mfg,Machine,Geometry,l/d,Strain rate,Estension rate,Density,machining  of sample
,Degrees,hrs,Degrees,hrs,Degrees,hrs,Mpa,Mpa,%,,HV,Gpa,,Mpa,,wt %,wt %,wt %,wt %,Mpa,Mpa,%,HV,Gpa,,,Degrees,,W,mm/s,mm,mm,J/mm3,,,,,,mm,micro sec,nano sec,micron,,,,,per sec,mm/min,%,
,320,2,0,0,,,233,146.5,13.3,,,,401.5777461,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,,,H,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
,320,2,0,0,,,233,146.5,13.3,,,,,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,,,V,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
"Fiocchi, 2016",265,0.5,,,,,,,,,101,,,,,10,,0.4,0.2,,,,114,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
,265,2,,,,,,,,,103,,,,,10,,0.4,0.2,,,,,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
,295,0.5,,,,,,,,,95,,,,,10,,0.4,0.2,,,,,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
,295,2,,,,,,,,,85,,,,,10,,0.4,0.2,,,,,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
,320,0.5,0,0,,,,,,,86,,,,,10,,0.4,0.2,,,,,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
,320,2,0,0,,,,,,,74,,,,,10,,0.4,0.2,,,,,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
"Heilgeist, 2019",0,0,160,8,,,,,,,81,,,,,,,,,,,,81,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,45,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,0,0,160,8,,,,,,,80,,,,,,,,,,,,80,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,60,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,0,0,160,8,,,,,,,78,,,,,,,,,,,,78,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,0,0,160,8,,,,,,,75,,,,,,,,,,,,75,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,80,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,0,0,160,8,,,,,,,73,,,,,,,,,,,,73,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,90,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
